Date,Open,High,Low,Close,Adj Close,Volume
2018-05-14 00:00:00+02:00,9010.5302734375,9025.8798828125,8979.900390625,9000.8896484375,9000.8896484375,38149100
2018-05-15 00:00:00+02:00,8986.8203125,9016.2900390625,8963.91015625,8994.2197265625,8994.2197265625,43555100
2018-05-16 00:00:00+02:00,8988.259765625,9002.7998046875,8951.2802734375,8973.8798828125,8973.8798828125,49078600
2018-05-17 00:00:00+02:00,8960.8203125,8988.330078125,8937.51953125,8988.330078125,8988.330078125,33929300
2018-05-18 00:00:00+02:00,8941.26953125,8982.8701171875,8917.759765625,8940.4599609375,8940.4599609375,53761600
2018-05-22 00:00:00+02:00,8977.4599609375,8978.4296875,8924.3203125,8936.0703125,8936.0703125,47580700
2018-05-23 00:00:00+02:00,8902.3603515625,8903.2197265625,8766.51953125,8794.9404296875,8794.9404296875,68475700
2018-05-24 00:00:00+02:00,8795.7802734375,8841.01953125,8733.919921875,8770.9404296875,8770.9404296875,50662000
2018-05-25 00:00:00+02:00,8789.4501953125,8834.9599609375,8759.080078125,8759.080078125,8759.080078125,47319700
2018-05-28 00:00:00+02:00,8783.0498046875,8817.73046875,8761.9296875,8775.4501953125,8775.4501953125,29328600
2018-05-29 00:00:00+02:00,8723.51953125,8735.41015625,8613.240234375,8637.2001953125,8637.2001953125,77712700
2018-05-30 00:00:00+02:00,8629.7900390625,8654.5703125,8578.6796875,8578.6796875,8578.6796875,57341600
2018-05-31 00:00:00+02:00,8630.6298828125,8641.6201171875,8454.2802734375,8456.9501953125,8456.9501953125,106598200
2018-06-01 00:00:00+02:00,8558.33984375,8645.33984375,8529.7998046875,8618.5400390625,8618.5400390625,66728800
2018-06-04 00:00:00+02:00,8664.150390625,8667.830078125,8605.7197265625,8634.419921875,8634.419921875,39222500
2018-06-05 00:00:00+02:00,8608.1396484375,8631.8701171875,8538.3095703125,8538.3095703125,8538.3095703125,47789300
2018-06-06 00:00:00+02:00,8532.01953125,8567.580078125,8470.150390625,8544.990234375,8544.990234375,49885700
2018-06-07 00:00:00+02:00,8575.5498046875,8612.8798828125,8514.0302734375,8548.330078125,8548.330078125,43584500
2018-06-08 00:00:00+02:00,8486.169921875,8549.0498046875,8456.509765625,8512.0595703125,8512.0595703125,48618100
2018-06-11 00:00:00+02:00,8567.8203125,8624.6201171875,8567.51953125,8623.5400390625,8623.5400390625,48863200
2018-06-12 00:00:00+02:00,8646.8798828125,8659.1904296875,8604.91015625,8640.7998046875,8640.7998046875,40416400
2018-06-13 00:00:00+02:00,8654.259765625,8657.9404296875,8618.3603515625,8634.6103515625,8634.6103515625,45607700
2018-06-14 00:00:00+02:00,8594.7197265625,8694.6298828125,8564.330078125,8690.830078125,8690.830078125,57620700
2018-06-15 00:00:00+02:00,8684.849609375,8697.0703125,8632.169921875,8642.599609375,8642.599609375,123756600
2018-06-18 00:00:00+02:00,8609.6796875,8621.8203125,8488.3603515625,8519.5703125,8519.5703125,44400400
2018-06-19 00:00:00+02:00,8456.8896484375,8471.8701171875,8424.0400390625,8463.41015625,8463.41015625,65393100
2018-06-20 00:00:00+02:00,8503.759765625,8588.3798828125,8500.7998046875,8557.509765625,8557.509765625,62991600
2018-06-21 00:00:00+02:00,8571.759765625,8598.8603515625,8454.669921875,8459.9296875,8459.9296875,50499200
2018-06-22 00:00:00+02:00,8471.9697265625,8616.5595703125,8468.5703125,8616.5595703125,8616.5595703125,43970700
2018-06-25 00:00:00+02:00,8550.330078125,8573.7001953125,8453.400390625,8458.75,8458.75,52212600
2018-06-26 00:00:00+02:00,8487.5703125,8492.740234375,8438.8896484375,8477.98046875,8477.98046875,45968000
2018-06-27 00:00:00+02:00,8465.330078125,8551.1396484375,8372.900390625,8504.5,8504.5,56624100
2018-06-28 00:00:00+02:00,8467.4404296875,8513.66015625,8410.919921875,8461.7099609375,8461.7099609375,50359800
2018-06-29 00:00:00+02:00,8561.7802734375,8616.150390625,8542.98046875,8609.2998046875,8609.2998046875,69901400
2018-07-02 00:00:00+02:00,8529.509765625,8561.6396484375,8507.599609375,8529.58984375,8529.58984375,47231600
2018-07-03 00:00:00+02:00,8561.5400390625,8645.669921875,8542.509765625,8625.490234375,8625.490234375,46625500
2018-07-04 00:00:00+02:00,8606.5498046875,8667.1103515625,8603.169921875,8663.5302734375,8663.5302734375,38814200
2018-07-05 00:00:00+02:00,8664.6904296875,8723.9697265625,8653.4404296875,8674.0400390625,8674.0400390625,38685900
2018-07-06 00:00:00+02:00,8696.9404296875,8703.8701171875,8650.0,8697.419921875,8697.419921875,37642700
2018-07-09 00:00:00+02:00,8725.2998046875,8766.580078125,8714.3203125,8759.919921875,8759.919921875,40119500
2018-07-10 00:00:00+02:00,8768.5,8795.259765625,8749.01953125,8768.91015625,8768.91015625,35912200
2018-07-11 00:00:00+02:00,8699.1103515625,8712.759765625,8648.7197265625,8682.9296875,8682.9296875,43546700
2018-07-12 00:00:00+02:00,8712.8798828125,8820.8095703125,8687.349609375,8818.1904296875,8818.1904296875,50520500
2018-07-13 00:00:00+02:00,8831.33984375,8867.150390625,8824.6103515625,8861.0498046875,8861.0498046875,40400500
2018-07-16 00:00:00+02:00,8848.2197265625,8872.1796875,8816.5498046875,8847.9599609375,8847.9599609375,41568900
2018-07-17 00:00:00+02:00,8828.5595703125,8839.990234375,8782.2197265625,8824.669921875,8824.669921875,36589000
2018-07-18 00:00:00+02:00,8876.6201171875,8943.240234375,8873.0302734375,8938.1201171875,8938.1201171875,43339000
2018-07-19 00:00:00+02:00,8918.150390625,8978.91015625,8914.669921875,8933.9697265625,8933.9697265625,51964800
2018-07-20 00:00:00+02:00,8949.0595703125,8991.6904296875,8918.2900390625,8991.33984375,8991.33984375,58639300
2018-07-23 00:00:00+02:00,8947.3203125,8974.0400390625,8920.73046875,8959.7900390625,8959.7900390625,42716200
2018-07-24 00:00:00+02:00,8950.349609375,9026.1796875,8947.3603515625,9005.580078125,9005.580078125,57436500
