,JPM,C,GS,BAC,MS
JPM,1.0,0.8687334042151355,0.8312050233897837,0.913253601436794,0.8352215768303067
C,0.8687334042151355,1.0,0.8302323491200186,0.8805092486168289,0.8347879254287176
GS,0.8312050233897837,0.8302323491200186,1.0,0.8274403097518245,0.8868556418004933
BAC,0.913253601436794,0.8805092486168289,0.8274403097518245,1.0,0.8339656684421753
MS,0.8352215768303067,0.8347879254287176,0.8868556418004933,0.8339656684421753,1.0
