,JPM,C,GS,BAC,MS
JPM,0.9999999999999999,0.8564463879774832,0.8201049664870832,0.9046239546042883,0.8201725479800709
C,0.8564463879774832,0.9999999999999999,0.8178180326383355,0.8680143114361532,0.8229464642508239
GS,0.8201049664870832,0.8178180326383355,0.9999999999999999,0.8153621132894064,0.8741562731730276
BAC,0.9046239546042883,0.8680143114361532,0.8153621132894064,0.9999999999999999,0.8176906951956512
MS,0.8201725479800709,0.8229464642508239,0.8741562731730276,0.8176906951956512,0.9999999999999999
