,JPM,C,GS,BAC,MS
1,28,41.5,42.5,44.5,42
2,36.5,50,50.5,55.5,49
3,41,55.5,59,64.5,59
4,47.5,64,68.5,75,66.5
5,55,70,79,85,75
7,65.5,87.5,92.5,95.5,90.5
10,75.5,97.5,102.5,107.5,100.5
