,JPM,C,GS,BAC,MS
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.004666667195987202,0.0069166683900800776,0.007083335184356658,0.007416668791502729,0.007000001786458938
2.0,0.007580557641492191,0.009833937887962631,0.009829116159461929,0.011193759812813939,0.009402246471450437
3.0,0.008453326320559996,0.011237285667194218,0.012907258542515478,0.014010185350314829,0.013449436967298993
4.0,0.011511201358369477,0.015394762058879791,0.016712059671731935,0.018367572718562427,0.01526182521299518
5.0,0.014849053450632827,0.01624516954306216,0.021217080995136823,0.021857482307401022,0.019002602107378263
7.0,0.016176114056940496,0.023470162408887635,0.02230837306156161,0.021286885596528585,0.02297802473882769
10.0,0.017696087676553698,0.021483081545860046,0.022337494645976792,0.024241429548425803,0.021996125961665603
