,JPM,C,GS,BAC,MS
JPM,1.0,0.8729490125039174,0.8357405989229056,0.9176418206502909,0.8425642678045803
C,0.8729490125039174,1.0,0.8291965017368296,0.8806683499208721,0.8299937098397938
GS,0.8357405989229056,0.8291965017368296,1.0,0.8385576036861077,0.8746215588976017
BAC,0.9176418206502909,0.8806683499208721,0.8385576036861077,1.0,0.8438070304434881
MS,0.8425642678045803,0.8299937098397938,0.8746215588976017,0.8438070304434881,1.0
