Date,JPM,C,GS,BAC,MS
2018-05-14,113.9000015258789,72.62000274658203,243.91000366210938,31.1200008392334,55.220001220703125
2018-05-15,113.02999877929688,72.68000030517578,241.55999755859375,31.219999313354492,54.849998474121094
2018-05-16,113.33999633789062,71.94999694824219,240.9600067138672,31.059999465942383,54.970001220703125
2018-05-17,112.95999908447266,71.55999755859375,239.10000610351562,30.809999465942383,54.869998931884766
2018-05-18,111.12999725341797,69.95999908447266,237.0,30.260000228881836,53.91999816894531
2018-05-21,112.1500015258789,70.43000030517578,237.6999969482422,30.549999237060547,54.36000061035156
2018-05-22,113.01000213623047,71.08000183105469,238.0,30.889999389648438,54.880001068115234
2018-05-23,112.48999786376953,70.23999786376953,237.80999755859375,30.440000534057617,54.349998474121094
2018-05-24,111.2300033569336,69.30999755859375,236.10000610351562,30.209999084472656,54.0
2018-05-25,110.66000366210938,68.44000244140625,235.00999450683594,30.15999984741211,53.0099983215332
2018-05-29,105.93000030517578,65.70999908447266,227.02999877929688,28.959999084472656,49.959999084472656
2018-05-30,108.3499984741211,66.68000030517578,229.16000366210938,29.489999771118164,50.970001220703125
2018-05-31,107.01000213623047,66.69000244140625,225.8800048828125,29.040000915527344,50.13999938964844
2018-06-01,108.4000015258789,67.27999877929688,228.35000610351562,29.399999618530273,51.209999084472656
2018-06-04,108.44999694824219,67.33999633789062,229.88999938964844,29.399999618530273,51.54999923706055
2018-06-05,107.83999633789062,66.76000213623047,228.33999633789062,29.1200008392334,50.779998779296875
2018-06-06,110.36000061035156,68.2300033569336,232.22999572753906,30.040000915527344,51.90999984741211
2018-06-07,110.80000305175781,68.44999694824219,233.4499969482422,30.09000015258789,52.13999938964844
2018-06-08,111.11000061035156,68.47000122070312,233.38999938964844,30.010000228881836,51.90999984741211
2018-06-11,110.83000183105469,68.11000061035156,234.08999633789062,30.059999465942383,51.779998779296875
2018-06-12,110.19000244140625,67.61000061035156,232.6300048828125,29.899999618530273,51.31999969482422
2018-06-13,109.97000122070312,67.29000091552734,233.8300018310547,29.84000015258789,51.599998474121094
2018-06-14,108.02999877929688,66.16000366210938,233.64999389648438,29.5,51.310001373291016
2018-06-15,107.9000015258789,66.33999633789062,231.9199981689453,29.280000686645508,51.15999984741211
2018-06-18,108.18000030517578,66.75,231.38999938964844,29.399999618530273,50.77000045776367
2018-06-19,107.55000305175781,66.77999877929688,228.32000732421875,29.260000228881836,49.91999816894531
2018-06-20,107.54000091552734,67.37999725341797,227.82000732421875,29.239999771118164,49.88999938964844
2018-06-21,107.51000213623047,67.62999725341797,226.97999572753906,29.290000915527344,49.790000915527344
2018-06-22,105.75,67.19999694824219,226.02000427246094,28.989999771118164,48.88999938964844
2018-06-25,104.79000091552734,65.75,221.5399932861328,28.479999542236328,47.93000030517578
2018-06-26,104.86000061035156,66.30999755859375,221.5800018310547,28.540000915527344,47.790000915527344
2018-06-27,103.23999786376953,65.45999908447266,220.17999267578125,28.239999771118164,47.189998626708984
2018-06-28,104.93000030517578,66.87999725341797,223.4199981689453,28.670000076293945,48.290000915527344
2018-06-29,104.19999694824219,66.91999816894531,220.57000732421875,28.190000534057617,47.400001525878906
2018-07-02,105.08000183105469,67.16000366210938,223.25999450683594,28.280000686645508,47.720001220703125
2018-07-03,103.61000061035156,66.05999755859375,220.3800048828125,27.780000686645508,47.02000045776367
2018-07-05,103.72000122070312,66.55999755859375,220.74000549316406,27.920000076293945,46.70000076293945
2018-07-06,104.05999755859375,67.13999938964844,221.7899932861328,28.030000686645508,47.09000015258789
2018-07-09,107.27999877929688,68.94000244140625,227.99000549316406,29.049999237060547,48.40999984741211
2018-07-10,106.62000274658203,68.2300033569336,226.85000610351562,28.829999923706055,48.099998474121094
2018-07-11,106.38999938964844,67.91000366210938,225.66000366210938,28.68000030517578,47.75
2018-07-12,106.8499984741211,68.51000213623047,227.22000122070312,28.770000457763672,48.02000045776367
2018-07-13,106.36000061035156,67.0,226.41000366210938,28.549999237060547,48.08000183105469
2018-07-16,110.58000183105469,69.45999908447266,231.44000244140625,29.780000686645508,48.900001525878906
2018-07-17,110.5,69.3499984741211,231.02000427246094,30.010000228881836,49.18000030517578
2018-07-18,111.52999877929688,69.8499984741211,231.24000549316406,30.1299991607666,50.560001373291016
2018-07-19,109.88999938964844,68.98999786376953,229.6300048828125,29.670000076293945,49.849998474121094
2018-07-20,111.27999877929688,69.22000122070312,231.69000244140625,30.1299991607666,50.27000045776367
2018-07-23,113.3499984741211,70.20999908447266,233.75999450683594,30.75,50.7400016784668
2018-07-24,114.1500015258789,71.06999969482422,235.8800048828125,30.829999923706055,50.97999954223633
2018-07-25,115.18000030517578,71.72000122070312,236.69000244140625,31.06999969482422,51.040000915527344
2018-07-26,114.8499984741211,71.33999633789062,237.11000061035156,30.940000534057617,50.9900016784668
2018-07-27,116.02999877929688,71.69000244140625,237.63999938964844,31.059999465942383,51.04999923706055
2018-07-30,116.7300033569336,72.29000091552734,238.9499969482422,31.309999465942383,50.900001525878906
2018-07-31,114.94999694824219,71.88999938964844,237.42999267578125,30.8799991607666,50.560001373291016
2018-08-01,115.66000366210938,71.93000030517578,236.0399932861328,31.25,50.18000030517578
2018-08-02,116.1500015258789,71.83999633789062,233.99000549316406,31.280000686645508,49.810001373291016
2018-08-03,117.08999633789062,72.38999938964844,234.08999633789062,31.510000228881836,49.90999984741211
2018-08-06,117.12000274658203,72.4000015258789,235.92999267578125,31.520000457763672,49.9900016784668
2018-08-07,117.55000305175781,72.41000366210938,237.8300018310547,31.510000228881836,50.130001068115234
