Date,JPM,C,GS,BAC,MS
2018-05-15,0.29129971254152714,0.5234070929522492,0.25804714763683695,0.5805807198378188,0.32940729472296815
2018-05-16,0.5735910528623437,0.28071406775504865,0.4289404209804641,0.3685311613824965,0.5398233849340706
2018-05-17,0.40066465702975346,0.3764416780350176,0.2995711931742416,0.304156747063052,0.4422680277019542
2018-05-18,0.1435517306044068,0.11712585838598868,0.2760114347587586,0.15158610278440598,0.1623941805105508
2018-05-21,0.7351471846229783,0.6621623356728199,0.569784926437246,0.7220114581073865,0.6752812612698507
2018-05-22,0.7015927299220385,0.7146046718824929,0.5266928151014694,0.7514839130028038,0.7044529981109574
2018-05-23,0.3670514132625751,0.24944871262971907,0.4730372709170376,0.1923644618342045,0.27246583623270104
2018-05-24,0.2180181345847823,0.22645103562884314,0.311703908293639,0.3143708191502868,0.33489737056341484
2018-05-25,0.3533404997132718,0.23735389267904428,0.37418203528257915,0.4551080690018771,0.15076590434426354
2018-05-29,0.017574060716320526,0.034691976218735085,0.036466535900428136,0.03127397224287169,0.007371670960006633
2018-05-30,0.9153509173509392,0.8071925343633976,0.7170825731754844,0.8586607759814814,0.868824519657611
2018-05-31,0.19807645267213406,0.5072271318243855,0.17578613245624797,0.1829153901406729,0.1747899091755035
2018-06-01,0.8062790451847315,0.7070642876701193,0.7469937942171353,0.7741226062081505,0.8806829994628673
2018-06-04,0.5085150247666342,0.5249777860426806,0.6607537595818518,0.49837262698118456,0.6422677470530668
2018-06-05,0.34045952062115176,0.3082084024727235,0.3222017723134716,0.2751545612902369,0.1920076305536299
2018-06-06,0.9189165134053773,0.8901205071206514,0.8417914427617075,0.9446416898262956,0.8896172524972189
2018-06-07,0.6081009514048831,0.5809130336693712,0.6261386352805927,0.5415711860877485,0.5923627821195917
2018-06-08,0.5751423710401602,0.5106274853895048,0.48720723759910445,0.429231923955988,0.38003599287103224
2018-06-11,0.42367860968119,0.3801248729961001,0.5709325217923121,0.5416137933291191,0.42551773210198895
2018-06-12,0.33664571476991423,0.33433920071618706,0.3342520996578797,0.36389596681624764,0.28643133296076945
2018-06-13,0.4383493461870538,0.39210300093996453,0.623874161729515,0.4459917781055756,0.6157740824604958
2018-06-14,0.12694279802970748,0.17634552574274465,0.4737840341521453,0.24159679124058922,0.35264016620716054
2018-06-15,0.460817575634548,0.5688482274114232,0.30676860514914134,0.31643741261283764,0.415349505319124
2018-06-18,0.5694338967086667,0.6501290573071608,0.4341163667971777,0.6021334166071054,0.3105909147434881
2018-06-19,0.3354050191090175,0.5143872391410907,0.19160305478031664,0.3771381004195325,0.16919369773062443
2018-06-20,0.49259219001774096,0.709805578244528,0.43660517873180926,0.48047369023000197,0.4722030043304558
2018-06-21,0.4872546054852462,0.5925160275990006,0.39781388397409645,0.5427389191954215,0.4377299545788844
2018-06-22,0.141479567960029,0.3555368777287078,0.383974839316913,0.26184637977782155,0.15363905589988955
2018-06-25,0.25937636922209656,0.12416310635407642,0.11480092696130188,0.15443419934446945,0.13687134936456907
2018-06-26,0.5144566641142032,0.7004272414607844,0.49863405151876655,0.5528597243093302,0.4154104778662705
2018-06-27,0.15304741856576554,0.2330864995361095,0.3322977451187742,0.2569942589689345,0.22544762291127
